Entity,Code,Year,Sulphur dioxide (SO₂),Nitrogen oxides (NOx),Non-methane volatile organic compounds (VOCs)
United Kingdom,GBR,1970,6.49,3.15,2.4
United Kingdom,GBR,1971,6.14,3.12,2.41
United Kingdom,GBR,1972,5.89,3.09,2.35
United Kingdom,GBR,1973,6.05,3.25,2.49
United Kingdom,GBR,1974,5.55,3.02,2.4
United Kingdom,GBR,1975,5.27,2.91,2.35
United Kingdom,GBR,1976,5.1,2.95,2.41
United Kingdom,GBR,1977,5.09,2.96,2.49
United Kingdom,GBR,1978,5.14,3,2.53
United Kingdom,GBR,1979,5.46,3.1,2.6
United Kingdom,GBR,1980,4.83,2.92,2.53
United Kingdom,GBR,1981,4.39,2.79,2.48
United Kingdom,GBR,1982,4.2,2.77,2.5
United Kingdom,GBR,1983,3.88,2.73,2.51
United Kingdom,GBR,1984,3.73,2.68,2.35
United Kingdom,GBR,1985,3.75,2.77,2.52
United Kingdom,GBR,1986,3.9,2.86,2.62
United Kingdom,GBR,1987,3.88,2.92,2.68
United Kingdom,GBR,1988,3.82,3,2.75
United Kingdom,GBR,1989,3.71,3.05,2.79
United Kingdom,GBR,1990,3.77,3.05,2.86
United Kingdom,GBR,1991,3.61,2.95,2.8
United Kingdom,GBR,1992,3.54,2.89,2.71
United Kingdom,GBR,1993,3.2,2.72,2.56
United Kingdom,GBR,1994,2.74,2.62,2.43
United Kingdom,GBR,1995,2.45,2.49,2.26
United Kingdom,GBR,1996,2.1,2.38,2.19
United Kingdom,GBR,1997,1.73,2.19,2.09
United Kingdom,GBR,1998,1.7,2.14,1.93
United Kingdom,GBR,1999,1.32,2.02,1.75
United Kingdom,GBR,2000,1.29,1.95,1.6
United Kingdom,GBR,2001,1.2,1.91,1.53
United Kingdom,GBR,2002,1.08,1.81,1.44
United Kingdom,GBR,2003,1.05,1.78,1.33
United Kingdom,GBR,2004,0.89,1.73,1.25
United Kingdom,GBR,2005,0.77,1.72,1.17
United Kingdom,GBR,2006,0.73,1.66,1.12
United Kingdom,GBR,2007,0.63,1.59,1.09
United Kingdom,GBR,2008,0.53,1.43,1.01
United Kingdom,GBR,2009,0.43,1.25,0.92
United Kingdom,GBR,2010,0.45,1.22,0.9
United Kingdom,GBR,2011,0.41,1.14,0.89
United Kingdom,GBR,2012,0.46,1.16,0.88
United Kingdom,GBR,2013,0.4,1.1,0.85
United Kingdom,GBR,2014,0.32,1.03,0.84
United Kingdom,GBR,2015,0.25,0.99,0.84
United Kingdom,GBR,2016,0.18,0.89,0.82
United States,USA,1970,31.22,26.88,34.66
United States,USA,1975,28.04,26.38,30.77
United States,USA,1980,25.93,27.08,31.11
United States,USA,1985,23.31,25.76,27.4
United States,USA,1990,23.08,25.53,24.11
United States,USA,1991,22.37,25.18,23.58
United States,USA,1992,22.08,25.26,23.07
United States,USA,1993,21.77,25.36,22.73
United States,USA,1994,21.35,25.35,22.57
United States,USA,1995,18.62,24.96,22.04
United States,USA,1996,18.39,24.79,20.87
United States,USA,1997,18.84,24.7,19.53
United States,USA,1998,18.94,24.35,18.78
United States,USA,1999,17.55,22.84,18.27
United States,USA,2000,16.35,22.6,17.51
United States,USA,2001,15.93,21.55,17.11
United States,USA,2002,15.03,23.96,20.29
United States,USA,2003,14.81,22.65,19.91
United States,USA,2004,14.57,21.33,19.51
United States,USA,2005,14.55,20.35,17.75
United States,USA,2006,13.12,19.23,17.9
United States,USA,2007,11.7,18.1,18.05
United States,USA,2008,10.32,16.91,17.76
United States,USA,2009,9.09,15.77,17.59
United States,USA,2010,7.73,14.85,17.84
United States,USA,2011,6.48,14.52,18.15
United States,USA,2012,5.12,13.9,17.75
United States,USA,2013,4.95,13.28,17.35
United States,USA,2014,4.8,12.6,16.49
United States,USA,2015,3.8,11.62,16.17
United States,USA,2016,2.71,10.49,15.86
