Entity,Code,Year,Outdoor air pollution,Household air pollution
Afghanistan,AFG,1990,13085,20372
Afghanistan,AFG,1995,17602,27948
Afghanistan,AFG,2000,20097,31581
Afghanistan,AFG,2005,22285,36956
Afghanistan,AFG,2006,22493,36622
Afghanistan,AFG,2010,21195,31631
Afghanistan,AFG,2016,27426,34356
Albania,ALB,1990,1208,2159
Albania,ALB,1995,1085,1994
Albania,ALB,2000,1105,1794
Albania,ALB,2005,1176,1680
Albania,ALB,2006,1219,1565
Albania,ALB,2010,1398,1190
Albania,ALB,2016,1421,1003
Algeria,DZA,1990,7963,2502
Algeria,DZA,1995,8298,1630
Algeria,DZA,2000,9007,1018
Algeria,DZA,2005,9062,456
Algeria,DZA,2006,9093,393
Algeria,DZA,2010,9547,220
Algeria,DZA,2016,12976,111
American Samoa,ASM,1990,2,11
American Samoa,ASM,1995,2,10
American Samoa,ASM,2000,3,9
American Samoa,ASM,2005,3,8
American Samoa,ASM,2006,2,8
American Samoa,ASM,2010,1,7
American Samoa,ASM,2016,2,6
Andorra,AND,1990,18,2
Andorra,AND,1995,21,1
Andorra,AND,2000,18,1
Andorra,AND,2005,21,1
Andorra,AND,2006,22,1
Andorra,AND,2010,24,1
Andorra,AND,2016,27,1
Angola,AGO,1990,6469,12604
Angola,AGO,1995,6912,13317
Angola,AGO,2000,7772,13815
Angola,AGO,2005,8156,13316
Angola,AGO,2006,8068,12874
Angola,AGO,2010,7733,11864
Angola,AGO,2016,7327,7902
Antigua and Barbuda,ATG,1990,21,4
Antigua and Barbuda,ATG,1995,20,3
Antigua and Barbuda,ATG,2000,19,2
Antigua and Barbuda,ATG,2005,18,2
Antigua and Barbuda,ATG,2006,18,2
Antigua and Barbuda,ATG,2010,16,1
Antigua and Barbuda,ATG,2016,19,1
Argentina,ARG,1990,13842,4424
Argentina,ARG,1995,13912,3139
Argentina,ARG,2000,14637,2588
Argentina,ARG,2005,14962,2208
Argentina,ARG,2006,15011,2109
Argentina,ARG,2010,15424,1707
Argentina,ARG,2016,15807,1202
Armenia,ARM,1990,1913,2355
Armenia,ARM,1995,1984,2226
Armenia,ARM,2000,1926,1366
Armenia,ARM,2005,2117,1269
Armenia,ARM,2006,2184,1239
Armenia,ARM,2010,2229,867
Armenia,ARM,2016,2148,650
Australia,AUS,1990,3864,241
Australia,AUS,1995,3764,98
Australia,AUS,2000,3533,86
Australia,AUS,2005,3154,87
Australia,AUS,2006,3057,85
Australia,AUS,2010,2669,69
Australia,AUS,2016,3098,59
Austria,AUT,1990,4904,377
Austria,AUT,1995,4464,257
Austria,AUT,2000,3995,196
Austria,AUT,2005,3542,148
Austria,AUT,2006,3492,140
Austria,AUT,2010,3407,112
Austria,AUT,2016,3454,87
Azerbaijan,AZE,1990,5348,5458
Azerbaijan,AZE,1995,5341,5220
Azerbaijan,AZE,2000,5286,3481
Azerbaijan,AZE,2005,5425,2442
Azerbaijan,AZE,2006,5601,2257
Azerbaijan,AZE,2010,6469,2098
Azerbaijan,AZE,2016,6885,1849
Bahamas,BHS,1990,61,15
Bahamas,BHS,1995,67,13
Bahamas,BHS,2000,68,11
Bahamas,BHS,2005,75,10
Bahamas,BHS,2006,71,10
Bahamas,BHS,2010,69,10
Bahamas,BHS,2016,95,10
Bahrain,BHR,1990,212,44
Bahrain,BHR,1995,228,28
Bahrain,BHR,2000,228,21
Bahrain,BHR,2005,217,11
Bahrain,BHR,2006,224,10
Bahrain,BHR,2010,253,8
Bahrain,BHR,2016,308,6
Bangladesh,BGD,1990,82922,117467
Bangladesh,BGD,1995,81365,110913
Bangladesh,BGD,2000,82277,108085
Bangladesh,BGD,2005,94713,110898
Bangladesh,BGD,2006,96396,111627
